t=2	t=3	t=4	t=5	t>5
1024	192	44	5	0
1232	222	64	10	0
590	66	0	0	0
908	141	24	0	6
1052	249	48	10	19
1110	189	28	0	6
900	171	56	5	0
970	243	28	45	66
1130	351	108	50	41
682	171	48	25	36
796	150	16	25	7
1016	183	56	10	6
1228	288	88	15	0
842	192	68	15	18
952	216	88	10	14
1392	369	112	55	24
1090	201	36	5	0
1504	387	128	20	0
1098	195	80	25	13
